,image_name,encoder_type,encoder_args,encoder_name,num_bytes,mse,ssim,psnr
172,9.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,302,102.05750470196759,0.7148350344122038,13.566683428465458
173,9.jpg,JPEG2000,"(3, 255)",JPEG2000 Encoder: Quality 3,302,102.05750470196759,0.7148350344122038,13.566683428465458
174,9.jpg,JPEG2000,"(4, 255)",JPEG2000 Encoder: Quality 4,302,102.05750470196759,0.7148350344122038,13.566683428465458
175,9.jpg,JPEG2000,"(5, 255)",JPEG2000 Encoder: Quality 5,302,102.05750470196759,0.7148350344122038,13.566683428465458
176,9.jpg,JPEG2000,"(7, 255)",JPEG2000 Encoder: Quality 7,302,102.05750470196759,0.7148350344122038,13.566683428465458
177,9.jpg,JPEG2000,"(9, 255)",JPEG2000 Encoder: Quality 9,302,102.05750470196759,0.7148350344122038,13.566683428465458
178,9.jpg,JPEG2000,"(11, 255)",JPEG2000 Encoder: Quality 11,302,102.05750470196759,0.7148350344122038,13.566683428465458
179,9.jpg,JPEG2000,"(14, 255)",JPEG2000 Encoder: Quality 14,302,102.05750470196759,0.7148350344122038,13.566683428465458
180,9.jpg,JPEG2000,"(17, 255)",JPEG2000 Encoder: Quality 17,302,102.05750470196759,0.7148350344122038,13.566683428465458
181,9.jpg,JPEG2000,"(22, 255)",JPEG2000 Encoder: Quality 22,371,96.30887839988426,0.7977412414163078,18.765358425593714
182,9.jpg,JPEG2000,"(27, 255)",JPEG2000 Encoder: Quality 27,512,71.24530635127314,0.8324604509127901,24.551636666191495
183,9.jpg,JPEG2000,"(34, 255)",JPEG2000 Encoder: Quality 34,1978,24.892459852430555,0.8754871537034766,32.134291287813454
184,9.jpg,JPEG2000,"(43, 255)",JPEG2000 Encoder: Quality 43,61158,4.539920066550926,0.9517623227154154,41.06923880515777
185,5.jpg,JPEG2000,"(1, 255)",JPEG2000 Encoder: Quality 1,244,90.16767903645834,,-inf
186,5.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,244,90.16767903645834,,-inf
187,5.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,244,90.16767903645834,,-inf
188,5.jpg,JPEG2000,"(3, 255)",JPEG2000 Encoder: Quality 3,244,90.16767903645834,,-inf
189,5.jpg,JPEG2000,"(4, 255)",JPEG2000 Encoder: Quality 4,244,90.16767903645834,,-inf
190,5.jpg,JPEG2000,"(5, 255)",JPEG2000 Encoder: Quality 5,244,90.16767903645834,,-inf
191,5.jpg,JPEG2000,"(7, 255)",JPEG2000 Encoder: Quality 7,244,90.16767903645834,,-inf
192,5.jpg,JPEG2000,"(9, 255)",JPEG2000 Encoder: Quality 9,244,90.16767903645834,,-inf
193,5.jpg,JPEG2000,"(11, 255)",JPEG2000 Encoder: Quality 11,244,90.16767903645834,,-inf
194,5.jpg,JPEG2000,"(14, 255)",JPEG2000 Encoder: Quality 14,244,90.16767903645834,,-inf
195,5.jpg,JPEG2000,"(17, 255)",JPEG2000 Encoder: Quality 17,244,90.16767903645834,,-inf
196,5.jpg,JPEG2000,"(22, 255)",JPEG2000 Encoder: Quality 22,413,99.77229817708333,0.5694417659223322,19.084818737831487
197,5.jpg,JPEG2000,"(27, 255)",JPEG2000 Encoder: Quality 27,718,48.03635886863426,0.7587981333075985,26.073897397402362
198,5.jpg,JPEG2000,"(34, 255)",JPEG2000 Encoder: Quality 34,5913,19.775139250578704,0.8949607304912292,32.84116664643913
199,5.jpg,JPEG2000,"(43, 255)",JPEG2000 Encoder: Quality 43,80591,5.12103587962963,0.9584369566858378,41.02624594439714
200,13.jpg,JPEG2000,"(1, 255)",JPEG2000 Encoder: Quality 1,244,98.3322902199074,,-inf
201,13.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,244,98.3322902199074,,-inf
202,13.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,244,98.3322902199074,,-inf
203,13.jpg,JPEG2000,"(3, 255)",JPEG2000 Encoder: Quality 3,244,98.3322902199074,,-inf
204,13.jpg,JPEG2000,"(4, 255)",JPEG2000 Encoder: Quality 4,244,98.3322902199074,,-inf
205,13.jpg,JPEG2000,"(5, 255)",JPEG2000 Encoder: Quality 5,244,98.3322902199074,,-inf
206,13.jpg,JPEG2000,"(7, 255)",JPEG2000 Encoder: Quality 7,244,98.3322902199074,,-inf
207,13.jpg,JPEG2000,"(9, 255)",JPEG2000 Encoder: Quality 9,244,98.3322902199074,,-inf
208,13.jpg,JPEG2000,"(11, 255)",JPEG2000 Encoder: Quality 11,244,98.3322902199074,,-inf
209,13.jpg,JPEG2000,"(14, 255)",JPEG2000 Encoder: Quality 14,244,98.3322902199074,,-inf
210,13.jpg,JPEG2000,"(17, 255)",JPEG2000 Encoder: Quality 17,244,98.3322902199074,,-inf
211,13.jpg,JPEG2000,"(22, 255)",JPEG2000 Encoder: Quality 22,699,88.83804578993056,0.6543078478353374,20.445089273554192
